iter	Passed	Remaining
409	3922	5644
410	3930	5632
411	3939	5621
412	3947	5610
413	3956	5599
414	3964	5588
415	3973	5578
416	3981	5566
417	3989	5554
418	3997	5543
419	4006	5532
420	4016	5524
421	4028	5517
422	4037	5507
423	4045	5495
424	4054	5485
425	4062	5474
426	4071	5464
427	4080	5453
428	4088	5442
429	4096	5430
430	4105	5420
431	4113	5408
432	4121	5396
433	4129	5385
434	4137	5374
435	4145	5362
436	4153	5350
437	4161	5339
438	4169	5328
439	4177	5316
440	4185	5305
441	4194	5295
442	4203	5284
443	4211	5273
444	4219	5263
445	4228	5252
446	4237	5242
447	4245	5231
448	4254	5221
449	4263	5211
450	4271	5200
451	4281	5190
452	4290	5180
453	4300	5171
454	4309	5161
455	4317	5150
456	4324	5138
457	4332	5127
458	4340	5115
459	4349	5105
460	4357	5094
461	4366	5084
462	4374	5073
463	4383	5063
464	4391	5052
465	4399	5041
466	4408	5031
467	4417	5022
468	4427	5012
469	4435	5002
470	4444	4992
471	4453	4982
472	4462	4971
473	4470	4960
474	4479	4950
475	4487	4940
476	4496	4930
477	4505	4919
478	4513	4909
479	4521	4897
480	4530	4888
481	4540	4880
482	4550	4870
483	4558	4860
484	4566	4849
485	4575	4838
486	4583	4828
487	4591	4817
488	4600	4807
489	4609	4798
490	4618	4788
491	4627	4777
492	4636	4767
493	4644	4757
494	4654	4748
495	4663	4738
496	4671	4727
497	4679	4716
498	4688	4707
499	4696	4696
500	4704	4685
501	4712	4675
502	4721	4665
503	4731	4656
504	4739	4645
505	4748	4635
506	4756	4625
507	4764	4614
508	4772	4603
509	4781	4594
510	4790	4584
511	4801	4576
512	4812	4568
513	4822	4559
514	4831	4549
515	4840	4539
516	4848	4529
517	4857	4519
518	4866	4509
519	4874	4499
520	4883	4489
521	4892	4480
522	4901	4469
523	4909	4459
524	4918	4450
525	4927	4440
526	4935	4429
527	4944	4420
528	4953	4410
529	4962	4400
530	4971	4390
531	4979	4380
532	4988	4370
533	4996	4359
534	5004	4350
535	5012	4339
536	5021	4329
537	5029	4319
538	5037	4308
539	5046	4298
540	5056	4290
541	5066	4281
542	5077	4273
543	5086	4263
544	5094	4253
545	5102	4242
546	5110	4232
547	5119	4222
548	5127	4212
549	5135	4201
550	5143	4191
551	5152	4181
552	5160	4171
553	5169	4161
554	5177	4151
555	5188	4143
556	5196	4132
557	5204	4122
558	5212	4111
559	5220	4101
560	5229	4092
561	5237	4081
562	5245	4071
563	5255	4062
564	5263	4052
565	5271	4042
566	5280	4032
567	5288	4021
568	5296	4011
569	5304	4002
570	5314	3992
571	5325	3984
572	5335	3975
573	5343	3965
574	5351	3955
575	5361	3946
576	5369	3936
577	5377	3925
578	5385	3915
579	5393	3905
580	5401	3895
581	5409	3885
582	5417	3875
583	5426	3865
584	5434	3855
585	5442	3845
586	5450	3835
587	5458	3824
588	5468	3815
589	5477	3806
590	5485	3796
591	5493	3786
592	5501	3776
593	5510	3766
594	5518	3756
595	5527	3746
596	5535	3736
597	5543	3726
598	5552	3716
599	5560	3706
600	5570	3697
601	5580	3689
602	5590	3680
603	5599	3671
604	5608	3661
605	5619	3653
606	5627	3643
607	5635	3633
608	5644	3624
609	5652	3613
610	5660	3603
611	5668	3593
612	5676	3583
613	5686	3574
614	5694	3564
615	5702	3554
616	5709	3544
617	5717	3534
618	5726	3524
619	5734	3514
620	5742	3504
621	5750	3494
622	5758	3484
623	5766	3474
624	5774	3464
625	5782	3454
626	5789	3444
627	5798	3434
628	5806	3425
629	5815	3415
630	5823	3405
631	5832	3395
632	5841	3386
633	5849	3377
634	5858	3367
635	5866	3357
636	5874	3347
637	5883	3338
638	5891	3328
639	5899	3318
640	5907	3308
641	5916	3298
642	5923	3288
643	5931	3278
644	5939	3269
645	5948	3259
646	5956	3249
647	5964	3240
648	5973	3230
649	5981	3220
650	5989	3211
651	5998	3201
652	6006	3191
653	6014	3182
654	6022	3172
655	6030	3162
656	6038	3152
657	6046	3142
658	6055	3133
659	6063	3123
660	6071	3113
661	6080	3104
662	6090	3095
663	6099	3086
664	6108	3077
665	6115	3067
666	6123	3057
667	6131	3047
668	6138	3037
669	6146	3027
670	6153	3017
671	6161	3007
672	6170	2997
673	6178	2988
674	6186	2978
675	6194	2968
676	6202	2959
677	6210	2949
678	6219	2940
679	6227	2930
680	6234	2920
681	6243	2911
682	6251	2901
683	6259	2892
684	6268	2882
685	6275	2872
686	6283	2862
687	6291	2853
688	6299	2843
689	6307	2833
690	6315	2824
691	6323	2814
692	6331	2804
693	6340	2795
694	6348	2786
695	6358	2777
696	6366	2767
697	6375	2758
698	6383	2748
699	6391	2739
700	6399	2729
701	6407	2720
702	6416	2710
703	6424	2701
704	6433	2691
705	6441	2682
706	6449	2672
707	6457	2663
708	6465	2653
709	6474	2644
710	6481	2634
711	6489	2624
712	6497	2615
713	6505	2605
714	6513	2596
715	6521	2586
716	6529	2577
717	6537	2567
718	6546	2558
719	6554	2548
720	6562	2539
721	6570	2529
722	6577	2520
723	6585	2510
724	6594	2501
725	6603	2492
726	6612	2483
727	6621	2474
728	6630	2464
729	6639	2455
730	6647	2446
731	6656	2437
732	6664	2427
733	6673	2418
734	6682	2409
735	6690	2399
736	6698	2390
737	6707	2381
738	6715	2371
739	6723	2362
740	6732	2353
741	6739	2343
742	6748	2334
743	6756	2324
744	6764	2315
745	6772	2305
746	6780	2296
747	6788	2286
748	6795	2277
749	6803	2267
750	6812	2258
751	6819	2249
752	6827	2239
753	6835	2230
754	6843	2220
755	6852	2211
756	6861	2202
757	6870	2193
758	6879	2184
759	6888	2175
760	6896	2166
761	6905	2156
762	6913	2147
763	6922	2138
764	6929	2128
765	6938	2119
766	6945	2109
767	6953	2100
768	6961	2091
769	6969	2081
770	6977	2072
771	6986	2063
772	6994	2053
773	7002	2044
774	7010	2035
775	7018	2025
776	7027	2016
777	7035	2007
778	7044	1998
779	7051	1988
780	7059	1979
781	7068	1970
782	7076	1961
783	7084	1951
784	7092	1942
785	7100	1933
786	7108	1924
787	7118	1915
788	7127	1905
789	7135	1896
790	7144	1887
791	7152	1878
792	7161	1869
793	7169	1860
794	7178	1851
795	7186	1841
796	7194	1832
797	7202	1823
798	7211	1814
799	7219	1804
800	7227	1795
801	7234	1786
802	7242	1776
803	7250	1767
804	7259	1758
805	7267	1749
806	7276	1740
807	7283	1730
808	7291	1721
809	7299	1712
810	7307	1703
811	7315	1693
812	7323	1684
813	7331	1675
814	7340	1666
815	7347	1656
816	7355	1647
